Init: GBs in use 1.067, 1.067
Run 0, 0.499963, GBs in use 1.067, 1.067.
Run 1, 0.500038, GBs in use 1.885, 1.067.
Run 2, 0.499971, GBs in use 2.095, 1.067.
Run 3, 0.499978, GBs in use 2.095, 1.067.
Run 4, 0.500016, GBs in use 2.095, 1.067.
Run 5, 0.499922, GBs in use 2.095, 1.067.
Run 6, 0.499992, GBs in use 2.095, 1.067.
Run 7, 0.500003, GBs in use 2.095, 1.067.
Run 8, 0.500027, GBs in use 2.095, 1.067.
Run 9, 0.500023, GBs in use 2.095, 1.067.
Run 10, 0.499901, GBs in use 2.095, 1.067.
Run 11, 0.499947, GBs in use 2.095, 1.067.
Run 12, 0.499995, GBs in use 2.095, 1.067.
Run 13, 0.499947, GBs in use 2.095, 1.067.
Run 14, 0.500008, GBs in use 2.095, 1.067.
Run 15, 0.499948, GBs in use 2.095, 1.067.
Run 16, 0.500015, GBs in use 2.095, 1.067.
Run 17, 0.500000, GBs in use 2.095, 1.067.
Run 18, 0.500069, GBs in use 2.095, 1.067.
Run 19, 0.499957, GBs in use 2.095, 1.067.
Run 20, 0.499953, GBs in use 2.095, 1.067.
Run 21, 0.500008, GBs in use 2.095, 1.067.
Run 22, 0.500046, GBs in use 2.095, 1.067.
Run 23, 0.500079, GBs in use 2.095, 1.067.
Run 24, 0.500011, GBs in use 2.095, 1.067.
Run 25, 0.499991, GBs in use 2.095, 1.067.
Run 26, 0.499924, GBs in use 2.095, 1.067.
Run 27, 0.500031, GBs in use 2.095, 1.067.
Run 28, 0.499950, GBs in use 2.095, 1.067.
Run 29, 0.500045, GBs in use 2.095, 1.067.
Run 30, 0.499951, GBs in use 2.095, 1.067.
Run 31, 0.500016, GBs in use 2.095, 1.067.
Run 32, 0.500022, GBs in use 2.095, 1.067.
Run 33, 0.499998, GBs in use 2.095, 1.067.
Run 34, 0.500056, GBs in use 2.095, 1.067.
Run 35, 0.500015, GBs in use 2.095, 1.067.
Run 36, 0.499946, GBs in use 2.095, 1.067.
Run 37, 0.500025, GBs in use 2.095, 1.067.
Run 38, 0.500021, GBs in use 2.095, 1.067.
Run 39, 0.499999, GBs in use 2.095, 1.067.
Run 40, 0.500018, GBs in use 2.095, 1.067.
Run 41, 0.500044, GBs in use 2.095, 1.067.
Run 42, 0.500061, GBs in use 2.095, 1.067.
Run 43, 0.500019, GBs in use 2.095, 1.067.
Run 44, 0.499987, GBs in use 2.095, 1.067.
Run 45, 0.499940, GBs in use 2.095, 1.067.
Run 46, 0.500030, GBs in use 2.095, 1.067.
Run 47, 0.500042, GBs in use 2.095, 1.067.
Run 48, 0.499994, GBs in use 2.095, 1.067.
Run 49, 0.500026, GBs in use 2.126, 1.067.
Run 50, 0.499979, GBs in use 2.126, 1.067.
Run 51, 0.499973, GBs in use 2.126, 1.067.
Run 52, 0.499942, GBs in use 2.126, 1.067.
Run 53, 0.499961, GBs in use 2.126, 1.067.
Run 54, 0.499977, GBs in use 2.126, 1.067.
Run 55, 0.500016, GBs in use 2.126, 1.067.
Run 56, 0.500000, GBs in use 2.126, 1.067.
Run 57, 0.499965, GBs in use 2.126, 1.067.
Run 58, 0.499973, GBs in use 2.126, 1.067.
Run 59, 0.500058, GBs in use 2.126, 1.067.
Run 60, 0.500040, GBs in use 2.126, 1.067.
Run 61, 0.499966, GBs in use 2.126, 1.067.
Run 62, 0.499926, GBs in use 2.126, 1.067.
Run 63, 0.499906, GBs in use 2.126, 1.067.
Run 64, 0.500076, GBs in use 2.126, 1.067.
